09:42:42.475 -> 1,1013.25,1013.19,0.00,13.02,-0.003,0.003,0.996,-0.07,0.19,0.35,-72,9.69
09:42:43.487 -> 2,1013.31,1013.21,0.03,13.00,-0.011,0.005,1.003,-0.60,-0.57,-0.61,-73,10.67
09:42:44.477 -> 3,1013.08,1013.25,0.12,12.98,-0.013,-0.006,1.007,-0.05,0.38,0.43,-72,10.15
09:42:45.478 -> 4,1013.27,1013.21,0.06,12.99,-0.009,0.014,1.010,0.19,-0.12,0.38,-71,9.94
09:42:46.479 -> 5,1013.08,1013.23,0.07,12.98,-0.005,0.003,0.991,0.51,0.19,0.43,-71,9.16
09:42:47.480 -> 6,1013.29,1013.23,0.02,13.00,-0.010,-0.002,0.989,0.64,0.65,0.66,-68,9.03
09:42:48.481 -> 7,1013.13,1013.21,0.17,13.01,0.012,-0.014,0.988,-0.04,0.10,0.08,-69,10.85
09:42:49.482 -> 8,1013.08,1013.19,0.14,13.04,0.005,-0.001,0.987,0.69,-0.41,0.63,-72,9.49
09:42:50.483 -> 9,1013.28,1013.16,0.04,13.03,0.004,-0.012,1.003,0.26,-0.45,-0.58,-67,9.40
09:42:51.485 -> 10,1013.20,1013.19,0.06,13.03,0.001,0.002,0.992,0.44,-0.48,-0.46,-69,10.29
09:42:52.485 -> 11,1013.08,1013.24,0.06,13.03,0.001,0.003,0.997,0.74,-0.22,0.75,-67,9.11
09:42:53.486 -> 12,1013.05,1013.23,0.14,13.03,0.007,0.010,0.986,-0.68,-0.35,-0.38,-73,10.98
09:42:54.488 -> 13,1013.15,1013.21,0.10,13.00,0.011,0.006,1.003,-0.77,0.26,-0.43,-70,9.44
09:42:55.488 -> 14,1013.17,1013.10,0.18,13.01,-0.002,-0.010,1.003,0.72,0.69,0.06,-71,10.70
09:42:56.489 -> 15,1013.08,1013.16,0.23,13.03,0.004,0.000,0.995,0.76,-0.74,0.74,-69,10.40
09:42:57.491 -> 16,1013.08,1013.24,0.23,13.01,0.000,-0.000,1.011,-0.40,0.56,0.12,-70,9.51
09:42:58.492 -> 17,1013.20,1013.13,0.20,13.03,-0.003,-0.008,0.992,0.77,-0.26,0.31,-72,9.26
09:42:59.493 -> 18,1013.19,1013.19,0.29,13.05,-0.006,-0.010,0.995,-0.33,-0.22,-0.39,-69,10.28
09:43:00.494 -> 19,1013.11,1013.19,0.16,13.03,0.009,-0.003,1.005,0.28,-0.59,0.73,-71,9.05
09:43:01.495 -> 20,1013.21,1013.26,0.09,13.02,-0.010,-0.015,0.986,-0.43,0.36,-0.05,-71,10.31
09:43:02.496 -> 21,1013.16,1013.16,0.00,13.04,-0.011,-0.012,1.008,0.12,-0.70,-0.63,-71,10.75
09:43:03.502 -> 22,1013.10,1013.12,0.00,13.04,0.011,-0.014,0.987,0.43,0.06,-0.79,-72,10.83
09:43:04.503 -> 23,1013.06,1013.14,0.01,13.02,0.006,-0.002,0.985,0.18,-0.10,0.59,-73,10.23
09:43:05.499 -> 24,1013.24,1013.21,0.09,13.01,0.009,0.001,0.998,0.16,0.55,-0.04,-71,10.74
09:43:06.500 -> 25,1013.33,1013.23,0.19,13.01,-0.003,-0.008,1.002,0.20,-0.70,-0.04,-70,10.59
09:43:07.501 -> 26,1013.25,1013.20,0.17,13.02,0.000,0.010,0.998,-0.39,0.34,0.73,-70,10.77
09:43:08.503 -> 27,1013.32,1013.25,0.19,13.03,-0.003,-0.001,1.003,-0.49,-0.72,-0.40,-70,9.85
09:43:09.503 -> 28,1013.06,1013.17,0.29,13.03,0.014,0.004,0.994,0.14,0.21,-0.07,-67,9.40
